Word,Rank,Frequency
leg,1485,372
yesterday,1486,370
ball,1487,370
note,1488,370
reproach,1489,369
frederick,1490,369
escaped,1491,369
tender,1492,367
news,1493,367
pull,1494,366
talbot,1495,366
burning,1496,366
daily,1497,366
vessel,1498,366
pardon,1499,366
woods,1500,366
assyria,1501,366
engagement,1502,363
sunday,1503,363
plague,1504,363
pocket,1505,363
pit,1506,363
waste,1507,363
superior,1508,363
poured,1509,363
season,1510,362
caused,1511,361
twice,1512,361
allow,1513,361
trying,1514,360
agreeable,1515,360
borne,1516,360
vision,1517,360
shop,1518,360
birds,1519,360
cook,1520,360
burned,1521,360
divided,1522,360
branches,1523,360
portion,1524,360
knowest,1525,360
suburbs,1526,360
cease,1527,360
linen,1528,360
gregory,1529,360
holding,1530,360
during,1531,359
states,1532,359
extremely,1533,358
clay,1534,357
speake,1535,357
riches,1536,357
judged,1537,357
chariots,1538,357
shake,1539,357
office,1540,357
loue,1541,357
winds,1542,357
nine,1543,356
history,1544,355
reach,1545,354
liberty,1546,354
dreadful,1547,354
garments,1548,354
complete,1549,354
circumstance,1550,354
violence,1551,354
beard,1552,354
duty,1553,354
giue,1554,354
fly,1555,354
suffered,1556,354
police,1557,354
minister,1558,352
strangers,1559,351
unless,1560,351
voices,1561,351
lose,1562,351
generation,1563,351
everlasting,1564,351
fury,1565,351
joe,1566,351
writing,1567,351
thunder,1568,351
bid,1569,349
presently,1570,348
wonderful,1571,348
eve,1572,348
advantage,1573,348
saints,1574,348
prey,1575,348
feed,1576,348
mouse,1577,348
powers,1578,345
wherewith,1579,345
soldiers,1580,345
beheld,1581,345
guess,1582,345
crowd,1583,345
windows,1584,345
waited,1585,345
ancient,1586,345
scene,1587,345
lad,1588,345
stick,1589,345
steady,1590,343
jeroboam,1591,342
fought,1592,342
modern,1593,342
finger,1594,342
firstborn,1595,342
creatures,1596,342
uncle,1597,342
anybody,1598,342
delighted,1599,342
bullock,1600,342
salt,1601,342
oxen,1602,342
surprised,1603,342
dog,1604,342
rod,1605,342
goodness,1606,342
step,1607,341
